date,item_link,item_oldprice,item_price,item_site,item_title
2020-03-22,www.slickdeals.net/f/13932365-shopdisney-18-mickey-or-minnie-easter-bunny-plush-or-15-stitch-or-angel-easter-bunny-plush-12-each-free-shipping?src=frontpage,$23,$12,shopDisney,"18"" Mickey Mouse or Minnie Mouse Easter Bunny Plush"
2020-03-22,www.slickdeals.net/f/13932551-fire-tablet-10-1-32gb-newest-model-all-colors-99-prime-only?src=frontpage,$150,$100,Amazon,Prime Members: 32GB Amazon Fire HD 10 Tablet w/ Special Offers
2020-03-22,www.slickdeals.net/f/11403699-chase-ink-business-cash-card-500-cash-back-w-3k-spent-in-1st-3-mos?src=sticky-24,,$500 Cash Back,Chase - Bank Advertiser,Chase Ink Business Cash Card
2020-03-22,www.slickdeals.net/f/13932098-milwaukee-m12-12v-4-tool-combo-kit-w-2-1-5ah-batteries-charger-tool-bag-179-m18-18v-li-ion-cordless-combo-kit-6-tool-w-2-m18-batteries-1-charger-tool-bag-349-more?src=frontpage,$350,$179,Home Depot,"Milwaukee M12 12V 4-Tool Combo Kit w/ 2x 1.5Ah Batteries, Charger, & Tool Bag"
2020-03-22,www.slickdeals.net/f/13932605-arizona-sunshine-vr-11-19-cdkeys-pc-steam?src=frontpage,$37,$11.20,CDKeys,Arizona Sunshine VR (PC Digital Download)
2020-03-22,www.slickdeals.net/f/13820720-united-explorer-card-earn-60k-bonus-miles-w-3k-spent-in-first-3-months?src=sticky-24,,60K Bonus Miles,Chase - Bank Advertiser,United℠ Explorer Card: Earn
2020-03-22,www.slickdeals.net/f/13932653-12-ct-11-oz-muscle-milk-protein-shake-chocolate-20g-protein-8-07-25g-protein-8-31-w-s-s?src=frontpage,$25,$8.10,Amazon,"12-Ct 11oz Muscle Milk Protein Shake: Genuine Chocolate $8.30, 100-Cal Chocolate"
2020-03-22,www.slickdeals.net/f/13932230-carhartt-men-s-cotton-full-swing-chore-coat-50-field-coat-65-quick-duck-jefferson-jacket-65-at-home-depot-free-shipping?src=frontpage,$99,from $50,Home Depot,"Carhartt Men's: Field Coat $65, Cotton Full Swing Chore Coat"
2020-03-22,www.slickdeals.net/f/12940198-chase-sapphire-preferred-card-spend-4k-on-purchases-earn-60-000-points-within-1st-3-months?src=sticky-24,,"60,000 Points",Chase - Bank Advertiser,Chase Sapphire Preferred Card: Spend $4K on Purchases & Earn
2020-03-22,www.slickdeals.net/f/13932401-shop-disney-disney-princess-fleece-throw-for-5-98-free-shipping?src=frontpage,$20,$6,shopDisney,Disney Princess 60'' x 50'' Fleece Throw
2020-03-22,www.slickdeals.net/f/13931960-den-of-thieves-blu-ray-5-99-free-store-pickup-best-buy?src=frontpage,$15,$6,Best Buy,Den of Thieves (Blu-ray + Digital)
2020-03-22,www.slickdeals.net/e/10817763-verizon-fios-200-200-mbps-internet-1-year-disney-streaming-50-visa-gc-39-99-month-auto-pay-required-new-customers-only?src=sticky-24,,$39.99/month,Verizon Fios,Verizon Fios: 200/200 Mbps Internet + 1-Year Disney+ Streaming + $50 Visa GC
2020-03-22,www.slickdeals.net/f/13932671-fulltone-guitar-effect-pedals-musical-products-15-off-coupon-new-ocd-v2-108-12-fs-more?src=frontpage,$127,$108,Sweetwater Audio,Fulltone Guitar Effects Pedals 15% Off: Fulltone OCD v2
2020-03-22,www.slickdeals.net/f/13932377-razer-deathadder-elite-wired-optical-gaming-mouse-with-chroma-lighting-black-22-99?src=frontpage,$70,$23,Best Buy,Razer DeathAdder Elite Wired Optical Gaming Mouse w/ Chroma Lighting
2020-03-22,www.slickdeals.net/f/13004074-bank-of-america-cash-rewards-credit-card-200-bonus-offer-w-1k-in-eligible-purchases?src=sticky-24,,$200 Bonus Offer,Bank of America - Bank Advertiser,Bank of America® Cash Rewards Credit Card
2020-03-22,www.slickdeals.net/f/13932020-target-circle-coupon-one-eligible-toy-item-excludes-lego-video-games-more-25-off-free-store-pickup?src=frontpage,,25% Off,Target,"Target Circle Coupon: One Eligible Toy Item (Excludes LEGO, Video Games & More)"
2020-03-22,www.slickdeals.net/f/11621423-chase-ink-business-unlimited-credit-card-500-bonus-after-3k-spent-in-3-months?src=sticky-24,,$500 Bonus,Chase - Bank Advertiser,Chase Ink Business Unlimited Credit Card
2020-03-22,www.slickdeals.net/f/13932431-the-north-face-surge-31-liter-backpack-various-colors-58-free-shipping?src=frontpage,$129,$58,The North Face,The North Face Surge 31-Liter Backpack (various colors)
2020-03-22,www.slickdeals.net/f/13930316-shutterfly-10-x14-personalized-puzzle-60-pc-or-252-pc-9-shipped?src=frontpage,$33,$9,ShutterFly,"Shutterfly 10""x14"" Personalized Puzzles (60-Piece or 252-Piece)"
2020-03-22,www.slickdeals.net/f/8606090-costco-anywhere-visa-card-by-citi-cash-back?src=sticky-24,,Cash Back,Citi - Bank Advertiser,Costco Anywhere Visa® Card by Citi
2020-03-22,www.slickdeals.net/f/13932116-fisher-price-little-people-big-helpers-home-w-interactive-sounds-16-15-free-store-pickup?src=frontpage,$40,$16.15,Target,Fisher-Price Little People Big Helpers Home w/ Interactive Sounds
2020-03-22,www.slickdeals.net/f/13930949-old-navy-toddler-girls-fleece-pullover-2-48-toddler-boys-yeti-critter-graphic-kangaroo-pocket-sweatshirt-5-48-fleece-lined-hooded-jacket-8-fs-on-12-50?src=frontpage,$17,$2.50,Old Navy,"Old Navy 50% Off Toddler Styles: Graphic Sweatshirt $5.50, Girls Fleece Pullover"
2020-03-22,www.slickdeals.net/f/13930811-new-fender-play-subscribers-3-months-guitar-bass-ukulele-online-lessons-free-valid-for-1st-100k-subscribers?src=frontpage,,Free,Fender,"New Fender Play Subscribers: 3-Months Guitar, Bass & Ukulele Online Lessons"
2020-03-22,www.slickdeals.net/f/13931528-apple-pencil-1st-gen-like-new-20-off-only-54-91-better-than-fp-deal-last-dec-2nd-generation-is-71-23?src=frontpage,,$54.90,Amazon,"Apple Pencil (Used): 2nd Generation (Like New) $73.55, 1st Generation (Like New)"
2020-03-22,www.slickdeals.net/f/13932158-6-piece-craftsman-jewelers-small-screwdiver-set-6?src=frontpage,$18,$6,Amazon,6-Piece Craftsman Jewelers Small Screwdiver Set
2020-03-22,www.slickdeals.net/f/13931951-24-pack-8-4oz-izze-fortified-sparkling-juice-4-flavor-variety-pack-9-25-w-s-s-free-s-h?src=frontpage,$14,$9.25,Amazon,24-Pack 8.4oz IZZE Fortified Sparkling Juice (4-Flavor Variety Pack)
2020-03-22,www.slickdeals.net/f/13931993-1500-piece-lego-classic-bricks-and-animals-set-34-76-free-store-pickup-at-walmart-or-free-s-h-on-35?src=frontpage,$60,$34.75,Walmart,1500-Piece LEGO Classic Bricks and Animals Set
2020-03-22,www.slickdeals.net/f/13929815-barnes-noble-craft-kits-star-wars-master-paper-kit-disney-frozen-crochet-kit-zen-instant-art-kit-more-10-each-f-s-w-35?src=frontpage,$25,$10 Each,Barnes & Noble,Kids Crafts & Building Books: Star Wars Paper Kit or Disney Frozen Crochet Kit
2020-03-22,www.slickdeals.net/f/13931705-3-pack-scotch-brite-stainless-steel-scrubbers-1-76-fs-prime-possibly-get-1-50-digital-credit-for-slow-ship?src=frontpage,,$1.75,Amazon,3-Pack Scotch-Brite Stainless Steel Scrubbers
2020-03-22,www.slickdeals.net/f/13930802-vizio-55-led-4k-ultra-hd-hdr-smart-tv-v-series-v555-g1-125-gc-dell-340?src=frontpage,$575,$340,Dell Home & Office,"55"" Vizio V555-G1 4K UHD HDR LED Smart TV + $125 Dell eGift Card"
